id,name,age,gender,alive
101,Juan,28,MALE,true
102,Maria,31,FEMALE,true
103,Carlos,25,MALE,true
104,Sofia,27,FEMALE,true
105,Andres,35,MALE,true
106,Valentina,22,FEMALE,true
107,Miguel,40,MALE,true
108,Camila,29,FEMALE,true
109,Diego,33,MALE,true
110,Laura,26,FEMALE,true
111,Sebastian,38,MALE,true
112,Isabella,24,FEMALE,true
113,Alejandro,30,MALE,true
114,Gabriela,32,FEMALE,true
115,Daniel,27,MALE,true
116,Mariana,25,FEMALE,true
117,Nicolas,34,MALE,true
118,Natalia,28,FEMALE,true
119,Felipe,36,MALE,true
120,Daniela,23,FEMALE,true
121,Ricardo,41,MALE,true
122,Juliana,29,FEMALE,true
123,Eduardo,37,MALE,true
124,Sara,26,FEMALE,true
125,Jorge,31,MALE,true
126,Paula,24,FEMALE,true
127,Roberto,39,MALE,true
128,Monica,33,FEMALE,true
129,Francisco,28,MALE,true
130,Carolina,30,FEMALE,true
131,Gustavo,35,MALE,true
132,Diana,27,FEMALE,true
133,Hector,42,MALE,true
134,Patricia,25,FEMALE,true
135,Mario,32,MALE,true
136,Adriana,29,FEMALE,true
137,Pablo,36,MALE,true
138,Alejandra,31,FEMALE,true
139,Luis,38,MALE,true
140,Sandra,26,FEMALE,true
141,Oscar,33,MALE,true
142,Claudia,28,FEMALE,true
143,Raul,40,MALE,true
144,Liliana,24,FEMALE,true
145,Hugo,35,MALE,true
146,Marcela,30,FEMALE,true
147,Ivan,37,MALE,true
148,Angela,27,FEMALE,true
149,Cesar,32,MALE,true
150,Gloria,25,FEMALE,true
151,Rodrigo,39,MALE,true
152,Martha,33,FEMALE,true
153,Ernesto,28,MALE,true
154,Beatriz,31,FEMALE,true
155,Armando,36,MALE,true
156,Rosa,29,FEMALE,true
157,Gabriel,41,MALE,true
158,Esperanza,26,FEMALE,true
159,Jaime,34,MALE,true
160,Luz,30,FEMALE,true
161,Esteban,37,MALE,true
162,Norma,25,FEMALE,true
163,Javier,32,MALE,true
164,Amparo,29,FEMALE,true
165,Mauricio,35,MALE,true
166,Pilar,31,FEMALE,true
167,Victor,40,MALE,true
168,Teresa,26,FEMALE,true
169,Sergio,33,MALE,true
170,Irene,28,FEMALE,true
171,Alfredo,36,MALE,true
172,Olga,24,FEMALE,true
173,Enrique,39,MALE,true
174,Silvia,30,FEMALE,true
175,Arturo,35,MALE,true
176,Lucia,25,FEMALE,true
177,Bernardo,38,MALE,true
178,Marta,29,FEMALE,true
179,Ignacio,33,MALE,true
180,Susana,31,FEMALE,true
181,Lorenzo,40,MALE,true
182,Virginia,26,FEMALE,true
183,Rafael,34,MALE,true
184,Nora,28,FEMALE,true
185,Tomas,37,MALE,true
186,Lourdes,23,FEMALE,true
187,Gilberto,41,MALE,true
188,Rocio,30,FEMALE,true
189,Gonzalo,35,MALE,true
190,Fabiola,27,FEMALE,true
191,Ramon,32,MALE,true
192,Ximena,25,FEMALE,true
193,Humberto,38,MALE,true
194,Alicia,29,FEMALE,true
195,Octavio,36,MALE,true
196,Veronica,31,FEMALE,true
197,Patricio,33,MALE,true
198,Fernanda,26,FEMALE,true
199,Leandro,39,MALE,true
200,Carla,28,FEMALE,true
201,Marcos,34,MALE,true
202,Viviana,30,FEMALE,true
203,Adolfo,37,MALE,true
204,Cecilia,24,FEMALE,true
205,Salvador,41,MALE,true
206,Constanza,27,FEMALE,true
207,Aurelio,32,MALE,true
208,Catalina,25,FEMALE,true
209,Edmundo,38,MALE,true
210,Lorena,29,FEMALE,true
